,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
조코드명,상품코드,상품등록일,상품명▲,매입처,"파트너포탈
입력정보",매입단가,판매단가,발주,,,,,,영업점,,,,,"발주
확정일자","발주
확정자","운영재고
관리대상",이미지여부,상품분류,발주비고,
,,,,,,,,수량,단위,단위수량,총수량,총금액,최근정보,기간판매량,운영재고,직전한달판매량,총현재고,수신예정수량,,,,,,,
디지털,8800923177450,2024-11-06,[3M] 전자계산기 330D,디피이,정상(EA/1),"8,720 ","10,900 ",1 ,EA(1),1 ,1 ,"8,720 ",20250412 / 5 [발주확정],0 ,0 ,1 ,0 ,0 ,,,N,N,일반 계산기, ,
디지털,8806080013136,2018-07-12,[3M] 전자계산기/318X,디피이,정상(EA/1),"9,520 ","11,900 ",2 ,EA(1),1 ,2 ,"19,040 ",20250412 / 5 [발주확정],2 ,0 ,3 ,0 ,0 ,,,N,N,일반 계산기, ,
디지털,8806080013167,2018-07-12,[3M] 전자계산기/830P,디피이,정상(EA/1),"10,320 ","12,900 ",0 ,EA(1),1 ,0 ,0 ,20250412 / 5 [발주확정],0 ,0 ,0 ,0 ,0 ,,,N,N,일반 계산기, ,
디지털,8806080023012,2018-07-12,[3M] 전자계산기/900E,디피이,정상(EA/1),"12,720 ","15,900 ",0 ,EA(1),1 ,0 ,0 ,20250412 / 5 [발주확정],0 ,0 ,0 ,0 ,0 ,,,N,N,일반 계산기, ,
디지털,8800923114110,2019-11-13,[가디언] 강아지 팻 가습기/핑크,디피이,정상(EA/1),"7,920 ","9,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,USB/휴대용 가습기, ,
디지털,8809266089024,2019-11-13,[가디언] 강아지 팻 가습기/화이트,디피이,정상(EA/1),"7,920 ","9,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,USB/휴대용 가습기, ,
디지털,8800923114240,2020-02-03,[가오몬] 그래픽 타블렛/M10K,디피이,정상(EA/0),"100,000 ","125,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,태블릿PC, ,
디지털,8800923114233,2020-02-03,[가오몬] 그래픽 타블렛/S620,디피이,정상(EA/0),"47,200 ","59,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,태블릿PC, ,
디지털,8800923114264,2020-02-03,[가오몬] 액정 타블렛/PD1161,디피이,정상(EA/0),"312,000 ","390,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,태블릿PC, ,
디지털,8800923114257,2020-02-03,[가오몬] 액정 타블렛/PD1561,디피이,정상(EA/0),"440,000 ","550,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,태블릿PC, ,
디지털,8809540154783,2020-12-11,[긱스타] 마블 장패드/블랙팬서/MLM-03,디피이,정상(EA/1),"20,300 ","29,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,패드류, ,
디지털,8809540154776,2020-12-11,[긱스타] 마블 장패드/스파이더맨/MLM-01,디피이,정상(EA/1),"20,300 ","29,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,패드류, ,
디지털,8809540154769,2020-12-11,[긱스타] 마블 장패드/아이언맨/MLM-02,디피이,정상(EA/1),"20,300 ","29,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,패드류, ,
디지털,8809540154578,2020-12-11,[긱스타] 마블 키보드/IK7300/블랙팬서/화이트,디피이,정상(EA/1),"27,300 ","39,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,키보드/디지타이저, ,
디지털,8809540154691,2020-12-11,[긱스타] 마블 키보드/IK7300/스파이더맨/블랙,디피이,정상(EA/1),"27,300 ","39,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,키보드/디지타이저, ,
디지털,8809540154554,2020-12-11,[긱스타] 마블 키보드/IK7300/스파이더맨/화이트,디피이,정상(EA/1),"27,300 ","39,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,키보드/디지타이저, ,
디지털,8809211378333,2018-07-16,[넥스트] HDMI TO VGA 컨버터,디피이,정상(EA/1),"12,530 ","17,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,컴퓨터 주변기기 기타, ,
디지털,8809211370054,2018-07-16,[넥스트] MICRO HDMI TO VGA 컨버터,디피이,정상(EA/1),"12,530 ","17,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,컴퓨터 주변기기 기타, ,
디지털,8809211370047,2018-07-16,[넥스트] MINI HDMI TO VGA 컨버터,디피이,정상(EA/1),"12,530 ","17,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,컴퓨터 주변기기 기타, ,
디지털,8809211370160,2018-07-16,[넥스트] VGA TO HDMI 아답터,디피이,정상(EA/1),"16,730 ","23,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,컴퓨터 주변기기 기타, ,
디지털,8809211372065,2018-07-16,[넥스트] VGA TO HDMI 컨버터,디피이,정상(EA/1),"13,650 ","19,500 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,컴퓨터 주변기기 기타, ,
디지털,8800923177122,2024-11-04,[넥스트유] 11in1 멀티포트 도킹스테이션 NEXT-1102ND-MST,디피이,정상(EA/1),"95,200 ","119,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,컴퓨터 주변기기 기타, ,
디지털,8800923167192,2024-11-04,[넥스트유] 2포트 KVM스위치 NEXT-7602KVM-4K 블랙,디피이,정상(EA/1),"35,920 ","44,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,컴퓨터 주변기기 기타, ,
디지털,8800923167109,2024-11-04,[넥스트유] 2포트 KVM스위치 NEXT-7602KVM-4K 화이트,디피이,정상(EA/1),"35,920 ","44,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,컴퓨터 주변기기 기타, ,
